93111,582,94085,1,No,2,1,2019-06-02 00:00:00,941
92119,586,95008,1,No,3,1,2017-04-05 00:00:00,941
93371,585,95085,1,No,3,4,2020-01-10 00:00:00,941
93791,578,94843,1,No,3,5,2020-12-19 00:00:00,941
93894,586,93437,1,No,8,1,2021-03-09 00:00:00,941
92530,583,93171,1,No,8,2,2018-02-18 00:00:00,941
92779,584,93554,1,No,9,4,2018-09-14 00:00:00,941
92499,584,94658,1,Yes,1,2,2018-01-25 00:00:00,941
92379,586,93451,1,Yes,1,4,2017-10-25 00:00:00,941
93035,581,93475,1,Yes,10,4,2019-03-30 00:00:00,941
93035,581,93476,1,Yes,10,4,2019-03-30 00:00:00,941
93035,581,93477,1,Yes,10,4,2019-03-30 00:00:00,941
92313,587,95104,1,Yes,2,2,2017-09-08 00:00:00,941
93700,586,93347,1,Yes,2,2,2020-10-08 00:00:00,941
93680,582,93198,1,Yes,4,3,2020-09-24 00:00:00,941
92793,585,94951,1,Yes,4,5,2018-09-25 00:00:00,941
93186,586,93623,1,Yes,4,5,2019-08-03 00:00:00,941
93677,583,93921,1,Yes,5,3,2020-09-23 00:00:00,941
92557,581,94891,1,Yes,5,4,2018-03-17 00:00:00,941
93543,588,93517,1,Yes,5,4,2020-06-03 00:00:00,941
93030,580,93802,1,Yes,6,2,2019-03-26 00:00:00,941
93396,585,94811,1,Yes,6,2,2020-01-26 00:00:00,941
93365,585,94428,1,Yes,6,4,2020-01-08 00:00:00,941
92683,587,93260,1,Yes,7,1,2018-06-29 00:00:00,941
93136,578,94887,1,Yes,7,1,2019-06-23 00:00:00,941
92151,580,94072,1,Yes,7,3,2017-05-02 00:00:00,941
93566,581,94879,1,Yes,7,3,2020-06-19 00:00:00,941
92782,586,94946,2,No,10,1,2018-09-18 00:00:00,941
93603,578,94311,2,No,4,1,2020-07-23 00:00:00,941
92533,587,94930,2,No,7,3,2018-02-22 00:00:00,941
93661,588,93786,2,Yes,1,1,2020-09-12 00:00:00,941
92935,582,94249,2,Yes,2,1,2019-01-19 00:00:00,941
93990,579,94385,2,Yes,4,5,2021-05-25 00:00:00,941
92603,586,94192,2,Yes,5,2,2018-04-16 00:00:00,941
93715,581,94693,2,Yes,5,3,2020-10-19 00:00:00,941
93891,579,94370,2,Yes,8,1,2021-03-07 00:00:00,941
93564,585,94443,2,Yes,8,2,2020-06-18 00:00:00,941
93805,588,94616,2,Yes,8,4,2020-12-31 00:00:00,941
93108,580,93453,2,Yes,9,3,2019-05-30 00:00:00,941
92003,579,93600,3,No,4,1,2017-01-03 00:00:00,941
93466,581,93902,3,No,4,4,2020-04-02 00:00:00,941
93255,583,93152,3,No,6,5,2019-10-01 00:00:00,941
92430,577,95064,3,No,7,2,2017-12-08 00:00:00,941
92335,584,94766,3,No,8,3,2017-09-18 00:00:00,941
92335,584,94767,3,No,8,3,2017-09-18 00:00:00,941
93713,579,93983,3,No,8,3,2020-10-16 00:00:00,941
92498,585,93782,3,Yes,1,3,2018-01-25 00:00:00,941
93090,588,93297,3,Yes,10,2,2019-05-09 00:00:00,941
92361,583,93333,3,Yes,10,4,2017-10-08 00:00:00,941
92582,588,94500,3,Yes,2,2,2018-04-02 00:00:00,941
92593,582,93506,3,Yes,3,2,2018-04-10 00:00:00,941
93533,586,94392,3,Yes,3,3,2020-05-20 00:00:00,941
92028,585,93208,3,Yes,3,4,2017-01-23 00:00:00,941
92345,581,93759,3,Yes,4,1,2017-09-24 00:00:00,941
92894,580,93701,3,Yes,4,2,2018-12-19 00:00:00,941
92884,582,94652,3,Yes,4,4,2018-12-08 00:00:00,941
92884,582,94653,3,Yes,4,4,2018-12-08 00:00:00,941
92465,583,94923,3,Yes,5,1,2018-01-03 00:00:00,941
93162,584,93391,4,No,10,3,2019-07-15 00:00:00,941
93216,579,94399,4,No,10,3,2019-08-29 00:00:00,941
92768,585,93874,4,No,2,4,2018-08-29 00:00:00,941
93548,587,94533,4,No,2,5,2020-06-08 00:00:00,941
93364,587,94506,4,No,4,2,2020-01-07 00:00:00,941
93073,586,93243,4,No,4,3,2019-04-22 00:00:00,941
